time	humidity	grow-media	growth
25	45	M1	8.1
25	45	M1	8.9
25	60	M1	2.2
25	60	M1	1.1
25	85	M1	18.6
25	85	M1	12.3
25	45	M2	10.2
25	45	M2	11.8
25	60	M2	15.7
25	60	M2	10.3
25	85	M2	21.1
25	85	M2	21.9
50	45	M1	3.8
50	45	M1	14.3
50	60	M1	4.5
50	60	M1	8.4
50	85	M1	11.3
50	85	M1	8.7
50	45	M2	12.7
50	45	M2	13.3
50	60	M2	17.5
50	60	M2	16.4
50	85	M2	26.2
50	85	M2	22.4
75	45	M1	8.8
75	45	M1	7.7
75	60	M1	6
75	60	M1	1.7
75	85	M1	10.2
75	85	M1	12.6
75	45	M2	15.2
75	45	M2	19.4
75	60	M2	22.1
75	60	M2	20.3
75	85	M2	33.1
75	85	M2	30.2
