FechayHora,Pegasus,Arduino
5/12/2016 16:51,0.9,4.25
5/12/2016 16:57,7.8,4.54
5/12/2016 17:03,4.9,1.03
5/12/2016 17:08,0.9,2.08
5/12/2016 17:14,4.9,2.3
5/12/2016 17:20,0.9,1.03
5/12/2016 17:25,0.9,4.19
5/12/2016 17:31,6.8,3.3
5/12/2016 17:36,3.9,1.73
5/12/2016 17:42,0.9,6.65
5/12/2016 17:48,6.8,1.03
5/12/2016 17:53,0.9,2.79
5/12/2016 17:59,6.8,5.95
5/12/2016 18:05,3.9,2.79
5/12/2016 18:10,5.9,2.79
5/12/2016 18:16,3.9,4.9
5/12/2016 18:21,0,3.19
5/12/2016 18:27,3.9,1.73
5/12/2016 18:33,2.9,1.03
5/12/2016 18:38,2.9,4.19
5/12/2016 18:44,0.9,2.79
5/12/2016 18:50,5.9,1.73
5/12/2016 18:55,4.9,3.14
5/12/2016 19:01,3.9,4.54
5/12/2016 19:06,5.9,4.19
5/12/2016 19:12,1.9,3.49
5/12/2016 19:18,0.9,1.38
5/12/2016 19:23,2.9,1.38
5/12/2016 19:29,2.9,2.08
5/12/2016 19:35,4.9,2.08
5/12/2016 19:40,0,1.43
5/12/2016 19:46,3.9,1.38
5/12/2016 19:51,0,2.08
5/12/2016 19:57,2.9,1.38
5/12/2016 20:03,1.9,1.38
5/12/2016 20:08,0,0.73
5/12/2016 20:14,0.9,1
5/12/2016 20:19,0,0
5/12/2016 20:25,0,0
5/12/2016 20:31,0.9,1
5/12/2016 20:36,0.9,1
5/12/2016 20:42,0,0.03
5/12/2016 20:47,0,0.73
5/12/2016 20:53,3.9,1.03
5/12/2016 20:59,0,2.08
5/12/2016 21:04,0.9,1.73
5/12/2016 21:10,2.9,1.03
5/12/2016 21:15,0,0
5/12/2016 21:21,0.9,1.38
5/12/2016 21:27,0,0
5/12/2016 21:32,0,0
5/12/2016 21:38,0,0.38
5/12/2016 21:43,0,0.03
5/12/2016 21:49,0,1.43
5/12/2016 21:55,0,0
5/12/2016 22:00,0,0
5/12/2016 22:06,0,2.08
5/12/2016 22:12,4.9,4.19
5/12/2016 22:17,0.9,2.79
5/12/2016 22:23,1.9,1.03
5/12/2016 22:28,0,1.08
5/12/2016 22:34,0,2.84
5/12/2016 22:40,3.9,4.54
5/12/2016 22:45,6.8,2.08
5/12/2016 22:51,4.9,3.49
5/12/2016 22:56,2.9,4.9
5/12/2016 23:02,3.9,4.19
5/12/2016 23:08,3.9,5.6
5/12/2016 23:13,6.8,2.43
5/12/2016 23:19,3.9,2.08
5/12/2016 23:24,4.9,4.19
5/12/2016 23:30,11.8,3.14
5/12/2016 23:35,11.8,2.08
5/12/2016 23:41,9.8,2.08
5/12/2016 23:47,8.8,3.14
5/12/2016 23:52,0.9,1.73
5/12/2016 23:58,3.9,2.08
6/12/2016 0:03,2.9,4.19
6/12/2016 0:09,1.9,3.49
6/12/2016 0:15,0.9,1.38
6/12/2016 0:20,0.9,5.6
6/12/2016 0:26,3.9,1.03
6/12/2016 0:31,1.9,3.84
6/12/2016 0:37,0.9,3.49
6/12/2016 0:43,3.9,3.14
6/12/2016 0:48,1.9,2.08
6/12/2016 0:54,1.9,1.03
6/12/2016 0:59,0.9,3.14
6/12/2016 1:05,0.9,1.38
6/12/2016 1:11,0,0
6/12/2016 1:16,0.9,1
6/12/2016 1:22,0,4.54
6/12/2016 1:27,4.9,1.73
6/12/2016 1:33,3.9,2.43
6/12/2016 1:39,3.9,1.38
6/12/2016 1:44,2.9,6.3
6/12/2016 1:50,3.9,1.03
6/12/2016 1:55,0,2.49
6/12/2016 2:01,3.9,4.54
6/12/2016 2:07,2.9,1.73
6/12/2016 2:12,0,0
6/12/2016 2:18,0,0.03
6/12/2016 2:23,6.8,1
6/12/2016 2:29,3.9,7
6/12/2016 2:34,7.8,1
6/12/2016 2:40,0,5.65
6/12/2016 2:46,3.9,2.79
6/12/2016 2:51,8.8,3.14
6/12/2016 2:57,4.9,6.65
6/12/2016 3:02,3.9,1.73
6/12/2016 3:08,3.9,4.19
6/12/2016 3:14,0.9,5.25
6/12/2016 3:19,4.9,4.9
6/12/2016 3:25,1.9,2.79
6/12/2016 3:30,1.9,4.19
6/12/2016 3:36,8.8,4.19
6/12/2016 3:42,3.9,4.54
6/12/2016 3:47,5.9,4.19
6/12/2016 3:53,3.9,3.14
6/12/2016 3:58,1.9,3.14
6/12/2016 4:04,0,0.38
6/12/2016 4:10,2.9,5.95
6/12/2016 4:15,1.9,4.19
6/12/2016 4:21,3.9,4.19
6/12/2016 4:26,3.9,8.76
6/12/2016 4:32,1.9,9.47
6/12/2016 4:37,9.8,4.19
6/12/2016 4:43,3.9,3.14
6/12/2016 4:49,1.9,1
6/12/2016 4:54,1.9,2.08
6/12/2016 5:00,0,0.73
6/12/2016 5:05,0,0.38
6/12/2016 5:11,0.9,1.38
6/12/2016 5:17,0,0.38
6/12/2016 5:22,0,0
6/12/2016 5:28,0,0.08
6/12/2016 5:33,0.9,1.03
6/12/2016 5:39,1.9,3.84
6/12/2016 5:44,3.9,2.43
6/12/2016 5:50,0,0
6/12/2016 5:56,0.9,3.49
6/12/2016 6:01,0,2.49
6/12/2016 6:07,0,0.03
6/12/2016 6:12,0,0
6/12/2016 6:18,0,0.03
6/12/2016 6:24,0,0.03
6/12/2016 6:29,0,0
6/12/2016 6:35,0,1.73
6/12/2016 6:40,0,2.79
6/12/2016 6:46,2.9,1.03
6/12/2016 6:52,0.9,1
6/12/2016 6:57,0,2.49
6/12/2016 7:03,4.9,2.43
6/12/2016 7:08,0.9,1.03
6/12/2016 7:14,0,0
6/12/2016 7:19,2.9,1.8
6/12/2016 7:25,0,0
6/12/2016 7:31,0,0
6/12/2016 7:36,0,0
6/12/2016 7:42,0,0
6/12/2016 7:47,0,0
6/12/2016 7:53,0,0
6/12/2016 7:59,1.9,0
6/12/2016 8:04,1.9,2.79
6/12/2016 8:10,0.9,1
6/12/2016 8:15,0,0.38
6/12/2016 8:21,0.9,1.73
6/12/2016 8:27,0,0.38
6/12/2016 8:32,0.9,3.14
6/12/2016 8:38,0.9,1
6/12/2016 8:43,0,0.79
6/12/2016 8:49,0,0.79
6/12/2016 8:55,2.9,1
6/12/2016 9:00,0,0
6/12/2016 9:06,0,0.38
6/12/2016 9:11,0,0
6/12/2016 9:17,0,0.73
6/12/2016 9:22,0,0.08
6/12/2016 9:28,0,0.73
6/12/2016 9:34,0,0.08
6/12/2016 9:39,0,0.73
6/12/2016 9:45,0.9,2.43
6/12/2016 9:50,0,0.38
6/12/2016 9:56,0,0.43
6/12/2016 10:02,0.9,1.03
6/12/2016 10:07,2.9,1
6/12/2016 10:13,0,0.03
6/12/2016 10:18,0,1.43
6/12/2016 10:24,0,0.38
6/12/2016 10:30,0,1.79
6/12/2016 10:35,1.9,2.43
