Fecha Hora,Temperatura DHT,Humedad DHT,Temperatura Eddy,Humedad Eddy,,,
29/12/2014 10:45,29.10,72.30,"28,10","63,05",,,
29/12/2014 11:00,29.30,73.60,"28,09","63,25",,,
29/12/2014 11:15,29.40,69.00,"28,43","60,17",,,
29/12/2014 11:30,29.80,68.80,"28,50","59,70",,,
29/12/2014 11:45,30.20,65.40,"29,04","57,51",,,
29/12/2014 12:00,30.10,65.10,"29,04","55,13",,,
29/12/2014 12:15,30.20,63.20,"29,32","51,58",,,
29/12/2014 12:30,30.30,64.90,"29,79","53,56",,,
29/12/2014 12:45,30.80,66.80,"30,13","52,40",,,
29/12/2014 13:00,30.70,62.90,"29,93","52,60",,,
29/12/2014 13:15,30.60,61.30,"29,93","52,67",,,
29/12/2014 13:30,30.90,62.80,"30,34","49,67",,,
29/12/2014 13:45,31.30,60.70,"30,75","49,33",,,
29/12/2014 14:00,31.70,55.00,"30,68","48,17",,,
29/12/2014 14:15,31.70,58.30,"30,68","47,89",,,
29/12/2014 14:30,31.90,54.50,"31,23","46,53",,,
29/12/2014 14:45,31.90,56.40,"31,09","49,39",,,
29/12/2014 15:00,31.70,57.40,"30,82","48,44",,,
29/12/2014 15:15,31.30,59.70,"30,54","48,78",,,
29/12/2014 15:30,30.90,58.60,"30,34","51,65",,,
29/12/2014 15:45,31.20,60.80,"30,61","50,76",,,
29/12/2014 16:00,30.80,62.10,"30,34","52,81",,,
29/12/2014 16:15,31.10,61.40,"30,75","51,38",,,
29/12/2014 16:30,31.20,64.10,"31,02","51,24",,,
29/12/2014 16:45,31.70,61.70,"31,70","50,21",,,
29/12/2014 17:00,31.80,57.90,"31,43","47,55",,,
29/12/2014 17:15,31.80,59.60,"31,16","48,44",,,
29/12/2014 17:30,31.90,55.50,"31,08","47,34",,,
29/12/2014 17:45,31.70,56.90,"31,28","47,00",,,
29/12/2014 18:00,31.60,58.30,"31,21","47,75",,,
29/12/2014 18:15,31.70,58.30,"31,07","48,08",,,
29/12/2014 18:30,31.70,56.70,"31,00","47,60",,,
29/12/2014 18:45,31.20,58.70,"30,59","48,22",,,
29/12/2014 19:00,30.80,61.60,"30,53","50,89",,,
29/12/2014 19:15,30.70,61.50,"30,40","50,96",,,
29/12/2014 19:30,30.50,63.50,"30,13","53,42",,,
29/12/2014 19:45,30.10,65.30,"29,73","54,31",,,
29/12/2014 20:00,29.80,68.90,"29,40","57,93",,,
29/12/2014 20:15,29.50,69.60,"29,20","58,42",,,
29/12/2014 20:30,29.30,71.40,"29,20","59,99",,,
29/12/2014 20:45,29.20,73.80,"29,21","61,36",,,
29/12/2014 21:00,29.00,76.50,"29,08","63,96",,,
29/12/2014 21:15,28.80,77.00,"28,74","64,03",,,
29/12/2014 21:30,28.60,77.60,"28,33","65,32",,,
29/12/2014 21:45,28.20,79.60,"27,99","66,76",,,
29/12/2014 22:00,28.00,77.00,"27,99","64,30",,,
29/12/2014 22:15,27.80,76.80,"27,92","64,30",,,
29/12/2014 22:30,27.60,77.00,"27,72","64,98",,,
29/12/2014 22:45,27.50,80.60,"27,17","68,34",,,
29/12/2014 23:00,27.40,82.60,"26,97","71,00",,,
29/12/2014 23:15,27.20,84.60,"26,56","73,53",,,
29/12/2014 23:30,26.80,86.80,"26,22","75,44",,,
29/12/2014 23:45,26.70,89.90,"26,02","77,62",,,
30/12/2014 00:00,26.50,92.90,"25,88","80,08",,,
30/12/2014 00:15,26.50,93.80,"26,15","79,81",,,
30/12/2014 00:30,26.40,95.50,"26,16","80,36",,,
30/12/2014 00:45,26.40,96.20,"25,95","81,11",,,
30/12/2014 01:00,26.30,96.60,"26,03","81,05",,,
30/12/2014 01:15,26.20,91.80,"25,96","77,02",,,
30/12/2014 01:30,26.10,90.30,"26,03","75,52",,,
30/12/2014 01:45,26.00,91.90,"25,89","76,74",,,
30/12/2014 02:00,22.00,96.70,"21,18","82,00",,,
30/12/2014 02:15,,,"19,96","85,09",,,
30/12/2014 02:30,,,"20,18","83,88",,,
30/12/2014 02:45,,,"20,52","85,66",,,
30/12/2014 03:00,20.60,99.90,"20,93","85,11",,,
30/12/2014 03:15,20.60,99.90,"20,79","84,29",,,
30/12/2014 03:30,20.50,99.90,"20,59","83,88",,,
30/12/2014 03:45,20.40,99.90,"20,59","81,77",,,
30/12/2014 04:00,20.40,98.00,"20,80","80,54",,,
30/12/2014 04:15,20.50,96.90,"20,80","78,90",,,
30/12/2014 04:30,20.30,99.90,"20,59","81,29",,,
30/12/2014 04:45,20.20,99.90,"20,25","83,54",,,
30/12/2014 05:00,20.80,99.90,"21,21","80,95",,,
30/12/2014 05:15,21.00,97.10,"21,34","79,17",,,
30/12/2014 05:30,21.40,98.20,"22,02","78,01",,,
30/12/2014 05:45,21.70,99.90,"22,30","80,33",,,
30/12/2014 06:00,22.50,85.90,"23,93","66,05",,,
30/12/2014 06:15,22.80,86.60,"23,39","68,44",,,
30/12/2014 06:30,23.00,85.80,"23,46","69,40",,,
30/12/2014 06:45,22.90,83.80,"23,05","68,44",,,
30/12/2014 07:00,22.80,87.80,"23,05","72,06",,,
30/12/2014 07:15,23.40,86.90,"23,86","68,98",,,
30/12/2014 07:30,23.50,86.80,"23,72","70,75",,,
30/12/2014 07:45,23.70,82.70,"23,92","67,61",,,
30/12/2014 08:00,23.80,83.00,"24,06","68,23",,,
30/12/2014 08:15,24.10,79.50,"24,60","65,56",,,
30/12/2014 08:30,24.80,74.40,"25,07","61,11",,,
30/12/2014 08:45,24.70,76.00,"24,73","61,38",,,
30/12/2014 09:00,25.40,72.10,"25,81","56,73",,,
30/12/2014 09:15,26.30,70.30,"26,28","57,34",,,
30/12/2014 09:30,26.80,65.20,"26,69","53,11",,,
30/12/2014 09:45,26.70,64.00,"26,89","50,92",,,
30/12/2014 10:00,27.50,60.50,"27,23","52,69",,,
30/12/2014 10:15,27.90,60.40,"27,70","48,18",,,
30/12/2014 10:30,28.20,56.80,"28,04","49,75",,,
30/12/2014 10:45,29.00,60.10,"28,37","47,97",,,
30/12/2014 11:00,29.70,56.30,"28,70","47,14",,,
30/12/2014 11:15,29.70,55.90,"28,70","48,92",,,
30/12/2014 11:30,29.90,55.70,"28,77","47,21",,,
30/12/2014 11:45,30.30,58.10,"29,32","47,14",,,
30/12/2014 12:00,30.30,56.40,"29,18","47,21",,,
30/12/2014 12:15,30.50,55.40,"29,32","49,80",,,
30/12/2014 12:30,30.50,57.10,"29,32","47,42",,,
30/12/2014 12:45,30.60,57.70,"29,18","49,12",,,
30/12/2014 13:00,30.50,58.20,"29,53","50,15",,,
30/12/2014 13:15,30.90,62.00,"29,74","50,63",,,
