FechayHora;Altura
26/07/2017 12:00;4.27
26/07/2017 00:00;4.28
27/07/2017 12:00;4.21
27/07/2017 00:00;4.23
28/07/2017 12:00;4.15
28/07/2017 00:00;4.18
29/07/2017 12:00;4.08
29/07/2017 00:00;4.12
30/07/2017 12:00;3.98
30/07/2017 00:00;4.03
31/07/2017 12:00;3.92
31/07/2017 00:00;3.95
01/08/2017 12:00;3.85
01/08/2017 00:00;3.88
02/08/2017 12:00;3.8
02/08/2017 00:00;3.81
03/08/2017 12:00;3.72
03/08/2017 00:00;3.75
04/08/2017 12:00;3.66
04/08/2017 00:00;3.68
05/08/2017 12:00;3.6
05/08/2017 00:00;3.62
06/08/2017 12:00;3.54
06/08/2017 00:00;3.55
07/08/2017 12:00;3.44
07/08/2017 00:00;3.5
08/08/2017 12:00;3.41
08/08/2017 00:00;3.43
09/08/2017 12:00;3.33
09/08/2017 00:00;3.36
10/08/2017 12:00;3.27
10/08/2017 00:00;3.3
11/08/2017 12:00;3.25
11/08/2017 00:00;3.26
12/08/2017 12:00;3.18
12/08/2017 00:00;3.2
13/08/2017 12:00;3.12
13/08/2017 00:00;3.14
14/08/2017 12:00;3.05
14/08/2017 00:00;3.07
15/08/2017 12:00;3.05
15/08/2017 00:00;3.03
16/08/2017 12:00;3.01
16/08/2017 00:00;2.99
17/08/2017 12:00;2.97
17/08/2017 00:00;2.97
18/08/2017 12:00;2.96
18/08/2017 00:00;2.96
19/08/2017 12:00;2.95
19/08/2017 00:00;2.96
20/08/2017 12:00;2.91
20/08/2017 00:00;2.89
21/08/2017 12:00;2.88
21/08/2017 00:00;2.87
22/08/2017 12:00;2.87
22/08/2017 00:00;2.88
23/08/2017 12:00;2.9
23/08/2017 00:00;2.91
24/08/2017 12:00;2.92
24/08/2017 00:00;2.9
25/08/2017 12:00;2.96
25/08/2017 00:00;2.91
26/08/2017 12:00;2.93
26/08/2017 00:00;2.9
27/08/2017 12:00;2.97
27/08/2017 00:00;2.94
28/08/2017 12:00;2.96
28/08/2017 00:00;2.96
29/08/2017 12:00;2.87
29/08/2017 00:00;2.95
30/08/2017 12:00;2.96
30/08/2017 00:00;2.92
31/08/2017 12:00;2.94
31/08/2017 00:00;2.92
01/09/2017 12:00;2.98
01/09/2017 00:00;2.95
02/09/2017 12:00;3.01
02/09/2017 00:00;2.99
03/09/2017 12:00;2.99
03/09/2017 00:00;3.01
04/09/2017 12:00;3
04/09/2017 00:00;2.94
05/09/2017 12:00;3.04
05/09/2017 00:00;3.02
06/09/2017 12:00;3.04
06/09/2017 00:00;3.01
07/09/2017 12:00;3.01
07/09/2017 00:00;3.03
08/09/2017 12:00;3
08/09/2017 00:00;3.01
09/09/2017 12:00;2.99
09/09/2017 00:00;2.98
10/09/2017 12:00;2.83
10/09/2017 00:00;2.93
11/09/2017 12:00;2.91
11/09/2017 00:00;2.83
12/09/2017 12:00;2.84
12/09/2017 00:00;2.86
13/09/2017 12:00;2.77
13/09/2017 00:00;2.79
14/09/2017 12:00;2.77
14/09/2017 00:00;2.78
15/09/2017 12:00;2.72
15/09/2017 00:00;2.74
16/09/2017 12:00;2.68
16/09/2017 00:00;2.69
17/09/2017 12:00;2.64
17/09/2017 00:00;2.64
18/09/2017 12:00;2.62
18/09/2017 00:00;2.64
19/09/2017 12:00;2.6
19/09/2017 00:00;2.59
20/09/2017 12:00;2.6
20/09/2017 00:00;2.58
21/09/2017 12:00;2.54
21/09/2017 00:00;2.55
22/09/2017 12:00;2.46
22/09/2017 00:00;2.5
23/09/2017 12:00;2.42
23/09/2017 00:00;2.43
24/09/2017 12:00;2.38
24/09/2017 00:00;2.39
25/09/2017 12:00;2.4
25/09/2017 00:00;2.36
26/09/2017 12:00;2.4
26/09/2017 00:00;2.36
27/09/2017 12:00;2.39
27/09/2017 00:00;2.37
28/09/2017 12:00;2.42
28/09/2017 00:00;2.4
29/09/2017 12:00;2.47
29/09/2017 00:00;2.45
30/09/2017 00:00;2.47
01/10/2017 12:00;2.57
01/10/2017 00:00;2.51
02/10/2017 12:00;2.66
02/10/2017 00:00;2.61
03/10/2017 12:00;2.73
03/10/2017 00:00;2.68
04/10/2017 00:00;2.76
05/10/2017 12:00;2.83
05/10/2017 00:00;2.8
06/10/2017 12:00;2.89
06/10/2017 00:00;2.84
07/10/2017 12:00;2.85
07/10/2017 00:00;2.85
08/10/2017 12:00;2.79
08/10/2017 00:00;2.79
09/10/2017 12:00;2.77
09/10/2017 00:00;2.75
10/10/2017 12:00;2.74
10/10/2017 00:00;2.74
11/10/2017 12:00;2.73
11/10/2017 00:00;2.72
12/10/2017 12:00;2.72
14/10/2017 12:00;2.73
14/10/2017 00:00;2.69
15/10/2017 12:00;2.76
15/10/2017 00:00;2.72
16/10/2017 12:00;2.79
16/10/2017 00:00;2.75
17/10/2017 12:00;2.86
17/10/2017 00:00;2.8
18/10/2017 12:00;2.97
18/10/2017 00:00;2.9
19/10/2017 12:00;3.09
19/10/2017 00:00;3.01
20/10/2017 12:00;3.14
20/10/2017 00:00;3.09
21/10/2017 12:00;3.11
21/10/2017 00:00;3.15
22/10/2017 12:00;3.18
22/10/2017 00:00;3.16
23/10/2017 12:00;3.19
23/10/2017 00:00;3.18
24/10/2017 12:00;3.2
24/10/2017 00:00;3.18
25/10/2017 12:00;3.19
25/10/2017 00:00;3.17
26/10/2017 12:00;3.21
26/10/2017 00:00;3.18
27/10/2017 12:00;3.22
27/10/2017 00:00;3.19
28/10/2017 12:00;3.23
28/10/2017 00:00;3.22
29/10/2017 12:00;3.27
29/10/2017 00:00;3.23
30/10/2017 12:00;3.31
30/10/2017 00:00;3.26
31/10/2017 12:00;3.34
31/10/2017 00:00;3.29
01/11/2017 12:00;3.36
01/11/2017 00:00;3.32
02/11/2017 12:00;3.4
02/11/2017 00:00;3.36
03/11/2017 12:00;3.5
03/11/2017 00:00;3.45
04/11/2017 12:00;3.52
04/11/2017 00:00;3.5
05/11/2017 12:00;3.52
05/11/2017 00:00;3.51
06/11/2017 12:00;3.54
06/11/2017 00:00;3.51
07/11/2017 12:00;3.55
07/11/2017 00:00;3.55
08/11/2017 12:00;3.6
08/11/2017 00:00;3.54
09/11/2017 12:00;3.62
09/11/2017 00:00;3.58
10/11/2017 12:00;3.64
10/11/2017 00:00;3.62
11/11/2017 12:00;3.68
11/11/2017 00:00;3.65
12/11/2017 12:00;3.72
12/11/2017 00:00;3.68
13/11/2017 12:00;3.79
13/11/2017 00:00;3.73
14/11/2017 12:00;3.84
14/11/2017 00:00;3.78
15/11/2017 12:00;3.87
15/11/2017 00:00;3.83
16/11/2017 12:00;3.85
16/11/2017 00:00;3.77
17/11/2017 12:00;3.88
17/11/2017 00:00;3.86
18/11/2017 12:00;3.89
18/11/2017 00:00;3.85
19/11/2017 12:00;3.94
19/11/2017 00:00;3.91
20/11/2017 12:00;3.96
20/11/2017 00:00;3.93
21/11/2017 12:00;3.99
21/11/2017 00:00;3.95
22/11/2017 12:00;3.99
22/11/2017 00:00;4
23/11/2017 12:00;4.02
23/11/2017 00:00;3.96
24/11/2017 12:00;3.97
24/11/2017 00:00;3.97
25/11/2017 12:00;3.98
25/11/2017 00:00;3.95
26/11/2017 12:00;3.98
26/11/2017 00:00;3.95
27/11/2017 12:00;3.97
27/11/2017 00:00;3.95
28/11/2017 12:00;3.94
28/11/2017 00:00;3.95
29/11/2017 12:00;3.94
29/11/2017 00:00;3.93
30/11/2017 12:00;3.91
