FechayHora ; AlturaCeneha ; AlturaPrefectura
26/07/2017 12:00 ; 4.27 ; 4.25
26/07/2017 00:00 ; 4.28 ; 4.28
27/07/2017 12:00 ; 4.21 ; 4.18
27/07/2017 00:00 ; 4.23 ; 4.2
28/07/2017 12:00 ; 4.15 ; 4.15
28/07/2017 00:00 ; 4.18 ; 4.18
29/07/2017 12:00 ; 4.08 ; 4.1
29/07/2017 00:00 ; 4.12 ; 4.13
30/07/2017 12:00 ; 3.98 ; 4.03
30/07/2017 00:00 ; 4.03 ; 4.03
31/07/2017 12:00 ; 3.92 ; 3.95
31/07/2017 00:00 ; 3.95 ; 3.99
01/08/2017 12:00 ; 3.85 ; 3.88
01/08/2017 00:00 ; 3.88 ; 3.9
02/08/2017 12:00 ; 3.8 ; 3.8
02/08/2017 00:00 ; 3.81 ; 3.83
03/08/2017 12:00 ; 3.72 ; 3.76
03/08/2017 00:00 ; 3.75 ; 3.78
04/08/2017 12:00 ; 3.66 ; 3.67
04/08/2017 00:00 ; 3.68 ; 3.72
05/08/2017 12:00 ; 3.6 ; 3.64
05/08/2017 00:00 ; 3.62 ; 3.67
06/08/2017 12:00 ; 3.54 ; 3.6
06/08/2017 00:00 ; 3.55 ; 3.6
07/08/2017 12:00 ; 3.44 ; 3.58
07/08/2017 00:00 ; 3.5 ; 3.58
08/08/2017 12:00 ; 3.41 ; 3.45
08/08/2017 00:00 ; 3.43 ; 3.49
09/08/2017 12:00 ; 3.33 ; 3.37
09/08/2017 00:00 ; 3.36 ; 3.39
10/08/2017 12:00 ; 3.27 ; 3.27
10/08/2017 00:00 ; 3.3 ; 3.34
11/08/2017 12:00 ; 3.25 ; 3.25
11/08/2017 00:00 ; 3.26 ; 3.27
12/08/2017 12:00 ; 3.18 ; 3.23
12/08/2017 00:00 ; 3.2 ; 3.25
13/08/2017 12:00 ; 3.12 ; 3.18
13/08/2017 00:00 ; 3.14 ; 3.2
14/08/2017 12:00 ; 3.05 ; 3.1
14/08/2017 00:00 ; 3.07 ; 3.13
15/08/2017 12:00 ; 3.05 ; 3.03
15/08/2017 00:00 ; 3.03 ; 3.05
16/08/2017 12:00 ; 3.01 ; 3.01
16/08/2017 00:00 ; 2.99 ; 3.02
17/08/2017 12:00 ; 2.97 ; 2.98
17/08/2017 00:00 ; 2.97 ; 3
18/08/2017 12:00 ; 2.96 ; 2.97
18/08/2017 00:00 ; 2.96 ; 2.98
19/08/2017 12:00 ; 2.95 ; 2.95
19/08/2017 00:00 ; 2.96 ; 2.97
20/08/2017 12:00 ; 2.91 ; 2.92
20/08/2017 00:00 ; 2.89 ; 2.93
21/08/2017 12:00 ; 2.88 ; 2.9
21/08/2017 00:00 ; 2.87 ; 2.9
22/08/2017 12:00 ; 2.87 ; 2.87
22/08/2017 00:00 ; 2.88 ; 2.9
23/08/2017 12:00 ; 2.9 ; 2.87
23/08/2017 00:00 ; 2.91 ; 2.87
24/08/2017 12:00 ; 2.92 ; 2.9
24/08/2017 00:00 ; 2.9 ; 2.87
25/08/2017 12:00 ; 2.96 ; 2.9
25/08/2017 00:00 ; 2.91 ; 2.9
26/08/2017 12:00 ; 2.93 ; 2.89
26/08/2017 00:00 ; 2.9 ; 2.89
27/08/2017 12:00 ; 2.97 ; 2.93
27/08/2017 00:00 ; 2.94 ; 2.89
28/08/2017 12:00 ; 2.96 ; 2.95
28/08/2017 00:00 ; 2.96 ; 2.95
29/08/2017 12:00 ; 2.87 ; 2.95
29/08/2017 00:00 ; 2.95 ; 2.95
30/08/2017 12:00 ; 2.96 ; 2.96
30/08/2017 00:00 ; 2.92 ; 2.97
31/08/2017 12:00 ; 2.94 ; 2.97
31/08/2017 00:00 ; 2.92 ; 2.96
01/09/2017 12:00 ; 2.98 ; 2.96
01/09/2017 00:00 ; 2.95 ; 2.97
02/09/2017 12:00 ; 3.01 ; 2.96
02/09/2017 00:00 ; 2.99 ; 2.96
03/09/2017 12:00 ; 2.99 ; 2.99
03/09/2017 00:00 ; 3.01 ; 2.96
04/09/2017 12:00 ; 3 ; 3.03
04/09/2017 00:00 ; 2.94 ; 3.03
05/09/2017 12:00 ; 3.04 ; 3.05
05/09/2017 00:00 ; 3.02 ; 3.03
06/09/2017 12:00 ; 3.04 ; 3.05
06/09/2017 00:00 ; 3.01 ; 3.05
07/09/2017 12:00 ; 3.01 ; 3.03
07/09/2017 00:00 ; 3.03 ; 3.05
08/09/2017 12:00 ; 3 ; 3
08/09/2017 00:00 ; 3.01 ; 3.03
09/09/2017 12:00 ; 2.99 ; 2.96
09/09/2017 00:00 ; 2.98 ; 3
10/09/2017 12:00 ; 2.83 ; 2.95
10/09/2017 00:00 ; 2.93 ; 2.95
11/09/2017 12:00 ; 2.91 ; 2.95
11/09/2017 00:00 ; 2.83 ; 2.97
12/09/2017 12:00 ; 2.84 ; 2.9
12/09/2017 00:00 ; 2.86 ; 2.93
13/09/2017 12:00 ; 2.77 ; 2.81
13/09/2017 00:00 ; 2.79 ; 2.87
14/09/2017 12:00 ; 2.77 ; 2.79
14/09/2017 00:00 ; 2.78 ; 2.81
15/09/2017 12:00 ; 2.72 ; 2.75
15/09/2017 00:00 ; 2.74 ; 2.76
16/09/2017 12:00 ; 2.68 ; 2.72
16/09/2017 00:00 ; 2.69 ; 2.75
17/09/2017 12:00 ; 2.64 ; 2.65
17/09/2017 00:00 ; 2.64 ; 2.7
18/09/2017 12:00 ; 2.62 ; 2.61
18/09/2017 00:00 ; 2.64 ; 2.67
19/09/2017 12:00 ; 2.6 ; 2.59
19/09/2017 00:00 ; 2.59 ; 2.61
20/09/2017 12:00 ; 2.6 ; 2.54
20/09/2017 00:00 ; 2.58 ; 2.59
21/09/2017 12:00 ; 2.54 ; 2.56
21/09/2017 00:00 ; 2.55 ; 2.54
22/09/2017 12:00 ; 2.46 ; 2.53
22/09/2017 00:00 ; 2.5 ; 2.58
23/09/2017 12:00 ; 2.42 ; 2.54
23/09/2017 00:00 ; 2.43 ; 2.51
24/09/2017 12:00 ; 2.38 ; 2.54
24/09/2017 00:00 ; 2.39 ; 2.54
25/09/2017 12:00 ; 2.4 ; 2.42
25/09/2017 00:00 ; 2.36 ; 2.54
26/09/2017 12:00 ; 2.4 ; 2.34
26/09/2017 00:00 ; 2.36 ; 2.36
27/09/2017 12:00 ; 2.39 ; 2.4
27/09/2017 00:00 ; 2.37 ; 2.34
28/09/2017 12:00 ; 2.42 ; 2.44
28/09/2017 00:00 ; 2.4 ; 2.4
29/09/2017 12:00 ; 2.47 ; 2.46
29/09/2017 00:00 ; 2.45 ; 2.44
30/09/2017 00:00 ; 2.47 ; 2.46
01/10/2017 12:00 ; 2.57 ; 2.5
01/10/2017 00:00 ; 2.51 ; 2.47
02/10/2017 12:00 ; 2.66 ; 2.6
02/10/2017 00:00 ; 2.61 ; 2.52
03/10/2017 12:00 ; 2.73 ; 2.72
03/10/2017 00:00 ; 2.68 ; 2.66
04/10/2017 00:00 ; 2.76 ; 2.72
05/10/2017 12:00 ; 2.83 ; 2.74
05/10/2017 00:00 ; 2.8 ; 2.74
06/10/2017 12:00 ; 2.89 ; 2.83
06/10/2017 00:00 ; 2.84 ; 2.76
07/10/2017 12:00 ; 2.85 ; 2.83
07/10/2017 00:00 ; 2.85 ; 2.83
08/10/2017 12:00 ; 2.79 ; 2.8
08/10/2017 00:00 ; 2.79 ; 2.83
09/10/2017 12:00 ; 2.77 ; 2.77
09/10/2017 00:00 ; 2.75 ; 2.78
10/10/2017 12:00 ; 2.74 ; 2.74
10/10/2017 00:00 ; 2.74 ; 2.77
11/10/2017 12:00 ; 2.73 ; 2.72
11/10/2017 00:00 ; 2.72 ; 2.74
12/10/2017 12:00 ; 2.72 ; 2.71
14/10/2017 12:00 ; 2.73 ; 2.74
14/10/2017 00:00 ; 2.69 ; 2.74
15/10/2017 12:00 ; 2.76 ; 2.74
15/10/2017 00:00 ; 2.72 ; 2.74
16/10/2017 12:00 ; 2.79 ; 2.74
